FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.2128,2128,POINT (16.424865741435486 48.23831778478945),Alte Donau,Alte Donau,U1,
OEFFHALTESTOGD.2129,2129,POINT (16.43920560036377 48.23843425833635),Häußlergasse,Häußlerg.,26A,
OEFFHALTESTOGD.2130,2130,POINT (16.414167767172213 48.286308418295796),Empergergasse,Empergerg.,"30, 31",
OEFFHALTESTOGD.2131,2131,POINT (16.434603763909365 48.28597741472649),Allißen,Allißen,32A,
OEFFHALTESTOGD.2132,2132,POINT (16.405390513926076 48.208424571187294),Prater Hauptallee,Prater Hauptallee,1,
OEFFHALTESTOGD.2133,2133,POINT (16.43741893132149 48.239623225491286),Bezirksamt Donaustadt,Bezirksamt Donaustadt,26A,
OEFFHALTESTOGD.2134,2134,POINT (16.42111982858832 48.239901726693276),Bundessportbad,Bundessportbad,20B,
OEFFHALTESTOGD.2135,2135,POINT (16.43881417741231 48.28547011882359),Draugasse,Draug.,32A,
OEFFHALTESTOGD.2136,2136,POINT (16.402816485113796 48.24112394215261),Verbindungsweg,Verbindungsw.,20B,
OEFFHALTESTOGD.2137,2137,POINT (16.42854155877054 48.207750945016),Chrastekgasse,Chrastekg.,"79B, 80B",
OEFFHALTESTOGD.2138,2138,POINT (16.434621706218273 48.24175366441066),Donauzentrum,Donauzentrum,"26A, 93A",
OEFFHALTESTOGD.2139,2139,POINT (16.43451167224447 48.24178720240389),Donauzentrum,Donauzentrum,25,
OEFFHALTESTOGD.2140,2140,POINT (16.418357380207954 48.20648220432625),Pierre-de-Coubertin-Platz,Pierre-de-Coubertin-Pl.,77A,
OEFFHALTESTOGD.2141,2141,POINT (16.416854821415345 48.24192489071398),Strandbad Alte Donau,Strandbad Alte Donau,20B,
OEFFHALTESTOGD.2142,2142,POINT (16.431531011194824 48.20639530473269),Donaumarina,Donaumarina,U2,
OEFFHALTESTOGD.2143,2143,POINT (16.40882178827052 48.24199601223378),Donauturm,Donauturm,20B,
OEFFHALTESTOGD.2144,2144,POINT (16.43509424554081 48.24202867445519),Donauzentrum,Donauzentrum,94A,
OEFFHALTESTOGD.2145,2145,POINT (16.434263771663904 48.24206142438434),Donauzentrum,Donauzentrum,"494, 495, 593",
OEFFHALTESTOGD.2146,2146,POINT (16.43299393648442 48.243055684007324),Kagran,Kagran,U1,
OEFFHALTESTOGD.2147,2147,POINT (16.433711100100556 48.243227353418455),Kagran,Kagran,27A,
OEFFHALTESTOGD.2148,2148,POINT (16.43335978616141 48.243568547762585),Kagran,Kagran,93A,
OEFFHALTESTOGD.2149,2149,POINT (16.43331584668094 48.24361439429516),Kagran,Kagran,26,
OEFFHALTESTOGD.2150,2150,POINT (16.425665988781137 48.28543164498483),Kollarzgasse,Kollarzg.,32A,
OEFFHALTESTOGD.2151,2151,POINT (16.43374317420034 48.24391783223581),Kagran,Kagran,25,
OEFFHALTESTOGD.2152,2152,POINT (16.408176503039712 48.2441165571947),Warhanekgasse,Warhanekg.,20B,
OEFFHALTESTOGD.2153,2153,POINT (16.433695112739247 48.24416434239837),Kagran,Kagran,27A,
OEFFHALTESTOGD.2154,2154,POINT (16.411400142651384 48.24438091465171),Arbeiterstrandbad,Arbeiterstrandbad,20B,
OEFFHALTESTOGD.2155,2155,POINT (16.410122508541964 48.24449331578559),Wildbadgasse,Wildbadg.,20B,
OEFFHALTESTOGD.2156,2156,POINT (16.408758040528028 48.24480416836358),Warhanekgasse,Warhanekg.,20B,
OEFFHALTESTOGD.2157,2157,POINT (16.41650976485308 48.20440073665139),Stadionbad,Stadionbad,77A,
OEFFHALTESTOGD.2158,2158,POINT (16.40459951365309 48.244985740398846),Friedstraße,Friedstr.,20B,
OEFFHALTESTOGD.2159,2159,POINT (16.438787006448365 48.24518344365749),Steigenteschgasse,Steigenteschg.,26,
OEFFHALTESTOGD.2160,2160,POINT (16.402645383156756 48.20357350427974),Friedensgasse,Friedensg.,80A,
OEFFHALTESTOGD.2161,2161,POINT (16.43431785388836 48.20343643533138),Praterbrücke,Praterbr.,"77A, 79B, 80B",
OEFFHALTESTOGD.2162,2162,POINT (16.4008931993549 48.24558171691891),Josef-Melichar-Gasse,Josef-Melichar-G.,20B,
OEFFHALTESTOGD.2163,2163,POINT (16.439226362288984 48.245620061625836),Steigenteschgasse,Steigenteschg.,94A,
OEFFHALTESTOGD.2164,2164,POINT (16.40239636104401 48.20294749456993),Friedensgasse,Friedensg.,80A,
OEFFHALTESTOGD.2165,2165,POINT (16.405825836985585 48.20279005294528),Lukschgasse,Lukschg.,80A,
