FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.1305,1305,POINT (16.354350664945976 48.23145787214242),Nußdorfer Straße,Nußdorfer Str.,"37, 38",
OEFFHALTESTOGD.1306,1306,POINT (16.35005090233529 48.147773760798756),Inzersdorf Friedhof,Inzersdorf Friedh.,66A,
OEFFHALTESTOGD.1307,1307,POINT (16.35797639969642 48.19661501285157),Kettenbrückengasse,Kettenbrückeng.,U4,
OEFFHALTESTOGD.1308,1308,POINT (16.353175033389626 48.23141055762692),Nußdorfer Straße,Nußdorfer Str.,37A,
OEFFHALTESTOGD.1309,1309,POINT (16.34626870428646 48.17899576874425),Wolfganggasse,Wolfgangg.,WLB,
OEFFHALTESTOGD.1310,1310,POINT (16.352435607354042 48.23132354339541),Nußdorfer Straße,Nußdorfer Str.,U6,
OEFFHALTESTOGD.1311,1311,POINT (16.354089527494097 48.16817393727053),Stefan-Fadinger-Platz,Stefan-Fadinger-Pl.,1,
OEFFHALTESTOGD.1312,1312,POINT (16.352589695096764 48.23118103523636),Nußdorfer Straße,Nußdorfer Str.,37A,
OEFFHALTESTOGD.1313,1313,POINT (16.351171648314715 48.195472557432794),Esterhazygasse,Esterhazyg.,"13A, 14A, 57A",
OEFFHALTESTOGD.1314,1314,POINT (16.359243460478552 48.179784175712676),Matzleinsdorfer Platz,Matzleinsdorfer Pl.,"261, 265",
OEFFHALTESTOGD.1315,1315,POINT (16.347814498328837 48.230260380293394),Weitlofgasse,Weitlofg.,"35A, 37A",
OEFFHALTESTOGD.1316,1316,POINT (16.34709073633257 48.148869859739065),Pfarrgasse,Pfarrg.,66A,
OEFFHALTESTOGD.1317,1317,POINT (16.352850081862563 48.19483043306974),Magdalenenstraße,Magdalenenstr.,14A,
OEFFHALTESTOGD.1318,1318,POINT (16.35278607104036 48.19470847152847),Magdalenenstraße,Magdalenenstr.,13A,
OEFFHALTESTOGD.1319,1319,POINT (16.349416031219498 48.1804602261422),Eichenstraße,Eichenstr.,"18, 6, 62, WLB",
OEFFHALTESTOGD.1320,1320,POINT (16.34714507665544 48.14970567052771),Pfarrgasse,Pfarrg.,"16A, 66A",
OEFFHALTESTOGD.1321,1321,POINT (16.348478833474648 48.21322438216606),Laudongasse,Laudong.,13A,
OEFFHALTESTOGD.1322,1322,POINT (16.359036475821625 48.18073722251838),Matzleinsdorfer Platz,Matzleinsdorfer Pl.,"1, 18, 6, 62, WLB",
OEFFHALTESTOGD.1323,1323,POINT (16.349508481584586 48.213278226247375),Laudongasse,Laudong.,13A,
OEFFHALTESTOGD.1324,1324,POINT (16.358834063555733 48.18084321409881),Matzleinsdorfer Platz,Matzleinsdorfer Pl.,14A,
OEFFHALTESTOGD.1325,1325,POINT (16.34920113707377 48.193123875984725),Hirschengasse,Hirscheng.,57A,
OEFFHALTESTOGD.1326,1326,POINT (16.354525847310935 48.192931478852),Pilgramgasse,Pilgramg.,13A,
OEFFHALTESTOGD.1327,1327,POINT (16.34937540620894 48.15393622481805),Otto-Probst-Platz,Otto-Probst-Pl.,67,
OEFFHALTESTOGD.1328,1328,POINT (16.348892713174724 48.154092819575915),Otto-Probst-Platz,Otto-Probst-Pl.,16A,
OEFFHALTESTOGD.1329,1329,POINT (16.35515279694678 48.192747577406216),Pilgramgasse,Pilgramg.,14A,
OEFFHALTESTOGD.1330,1330,POINT (16.35435655144153 48.16779814418857),Stefan-Fadinger-Platz,Stefan-Fadinger-Pl.,65A,
OEFFHALTESTOGD.1331,1331,POINT (16.353867418487305 48.18194941617089),Siebenbrunnenfeldgasse,Siebenbrunnenfeldg.,12A,
OEFFHALTESTOGD.1332,1332,POINT (16.348295307989815 48.25472623881326),Bretschneidergasse,Bretschneiderg.,38A,
OEFFHALTESTOGD.1333,1333,POINT (16.35485476886928 48.19265600765235),Pilgramgasse,Pilgramg.,12A,
OEFFHALTESTOGD.1334,1334,POINT (16.35638557133762 48.21459894182927),Landesgerichtsstraße,Landesgerichtsstr.,"43, 44",
OEFFHALTESTOGD.1335,1335,POINT (16.348819398142457 48.2149383952928),Skodagasse,Skodag.,13A,
OEFFHALTESTOGD.1336,1336,POINT (16.356410321219787 48.192080176124),Margaretenplatz/Schönbrunner Straße,Margaretenpl/Schönbrunner Str.,"13A, 59A",
OEFFHALTESTOGD.1337,1337,POINT (16.35424098615309 48.19203135694313),Pilgramgasse,Pilgramg.,U4,
OEFFHALTESTOGD.1338,1338,POINT (16.356732739654184 48.19196770323342),Margaretenplatz/Schönbrunner Straße,Margaretenpl/Schönbrunner Str.,12A,
OEFFHALTESTOGD.1339,1339,POINT (16.35747635618939 48.18229307558464),Scalagasse,Scalag.,14A,
OEFFHALTESTOGD.1340,1340,POINT (16.350666908866035 48.15523138607787),Tesarekplatz,Tesarekpl.,67,
OEFFHALTESTOGD.1341,1341,POINT (16.34867832602855 48.215197246126664),Skodagasse,Skodag.,"43, 44",
OEFFHALTESTOGD.1342,1342,POINT (16.347786819318152 48.1913489863247),Brückengasse,Brückeng.,57A,
OEFFHALTESTOGD.1343,1343,POINT (16.352435782539658 48.182750308898044),Embelgasse,Embelg.,12A,
OEFFHALTESTOGD.1344,1344,POINT (16.35396816867362 48.191096382588306),Bezirksamt Margareten,Bezirksamt Margareten,12A,
OEFFHALTESTOGD.1345,1345,POINT (16.356832644297185 48.22996317866736),Augasse,Aug.,33,
OEFFHALTESTOGD.1346,1346,POINT (16.355230529020933 48.19079546810785),Bezirksamt Margareten,Bezirksamt Margareten,"12A, 14A, 59A",
OEFFHALTESTOGD.1347,1347,POINT (16.357408043107018 48.2299130490304),Augasse,Aug.,D,
OEFFHALTESTOGD.1348,1348,POINT (16.357441590659164 48.190665239517934),Margaretenplatz,Margaretenpl.,12A,
OEFFHALTESTOGD.1349,1349,POINT (16.357418336617663 48.19064753881957),Margaretenplatz,Margaretenpl.,59A,
OEFFHALTESTOGD.1350,1350,POINT (16.357409936106347 48.18329527429561),Jahngasse,Jahng.,12A,
OEFFHALTESTOGD.1351,1351,POINT (16.35923797136531 48.21722863576017),Schwarzspanierstraße,Schwarzspanierstr.,"37, 38, 40, 41, 42",
OEFFHALTESTOGD.1352,1352,POINT (16.355773970264686 48.18392902810396),Fendigasse,Fendig.,"12A, 14A",
OEFFHALTESTOGD.1353,1353,POINT (16.349529456357242 48.22923384586748),Sternwartestraße,Sternwartestr.,37A,
OEFFHALTESTOGD.1354,1354,POINT (16.350070020989474 48.229178136258646),Sternwartestraße,Sternwartestr.,40A,
OEFFHALTESTOGD.1355,1355,POINT (16.35521034448514 48.15624415460278),Otto-Probst-Straße,Otto-Probst-Str.,67,
OEFFHALTESTOGD.1356,1356,POINT (16.346161859809076 48.18413711347048),Margaretengürtel/Arbeitergasse,Margaretengürtel/Arbeiterg.,59A,
OEFFHALTESTOGD.1357,1357,POINT (16.354833251701443 48.167590097945606),Stefan-Fadinger-Platz,Stefan-Fadinger-Pl.,15A,
OEFFHALTESTOGD.1358,1358,POINT (16.351416233566695 48.189289107289135),Reinprechtsdorfer Brücke,Reinprechtsdorfer Br.,"12A, 14A",
OEFFHALTESTOGD.1359,1359,POINT (16.359558596450473 48.22891213893093),Althanstraße,Althanstr.,"33, D",
OEFFHALTESTOGD.1360,1360,POINT (16.34897605070846 48.18870821701989),Am Hundsturm,Am Hundsturm,12A,
OEFFHALTESTOGD.1361,1361,POINT (16.35828637255728 48.18868965690781),Castelligasse,Castellig.,12A,
OEFFHALTESTOGD.1362,1362,POINT (16.351767969592963 48.21900970618424),Lazarettgasse,Lazarettg.,"33, 5",
OEFFHALTESTOGD.1363,1363,POINT (16.355533858539886 48.25390433985344),Armbrustergasse,Armbrusterg.,38A,
OEFFHALTESTOGD.1364,1364,POINT (16.35756952021388 48.184805549898115),Spengergasse,Spengerg.,12A,
OEFFHALTESTOGD.1365,1365,POINT (16.3566920885842 48.188375189306335),Bacherplatz,Bacherpl.,12A,
OEFFHALTESTOGD.1366,1366,POINT (16.35671099202799 48.18835635585484),Bacherplatz,Bacherpl.,59A,
OEFFHALTESTOGD.1367,1367,POINT (16.354841681028994 48.22807242079316),Canisiusgasse,Canisiusg.,"37, 38",
OEFFHALTESTOGD.1368,1368,POINT (16.35217717821201 48.253793285599),Neugebauerweg,Neugebauerweg,38A,
OEFFHALTESTOGD.1369,1369,POINT (16.355875301220326 48.220511219497986),Sensengasse,Senseng.,"37, 38, 40, 41, 42",
OEFFHALTESTOGD.1370,1370,POINT (16.347973101535736 48.25378311609293),Bretschneidergasse,Bretschneiderg.,38A,
OEFFHALTESTOGD.1371,1371,POINT (16.346454849681173 48.16670278815032),Hertha-Firnberg-Straße,Hertha-Firnberg-Str.,65A,
OEFFHALTESTOGD.1372,1372,POINT (16.34947806275649 48.18527723371338),Einsiedlerplatz,Einsiedlerpl.,59A,
OEFFHALTESTOGD.1373,1373,POINT (16.34937596669141 48.22607613002106),Währinger Straße-Volksoper,Währinger Str-Volksoper,40A,
OEFFHALTESTOGD.1374,1374,POINT (16.349499959262516 48.225586830253086),Währinger Straße-Volksoper,Währinger Str-Volksoper,U6,
OEFFHALTESTOGD.1375,1375,POINT (16.355355744794245 48.2515476023891),Geweygasse,Geweyg.,37,
OEFFHALTESTOGD.1376,1376,POINT (16.351077532737282 48.18775411631117),Kohlgasse,Kohlg.,12A,
OEFFHALTESTOGD.1377,1377,POINT (16.353275192105333 48.22225968971302),Spitalgasse/Währinger Straße,Spitalg./Währinger Str.,"33, 37, 38, 40, 41, 42, 5",
OEFFHALTESTOGD.1378,1378,POINT (16.359327561537647 48.18766112900213),Siebenbrunnengasse,Siebenbrunneng.,12A,
OEFFHALTESTOGD.1379,1379,POINT (16.357427737082315 48.251229385113845),Döblinger Bad,Döblinger Bad,37,
OEFFHALTESTOGD.1380,1380,POINT (16.35488360897061 48.22530869397508),Nußdorfer Straße/Alserbachstraße,Nußdorfer Str./Alserbachstr.,"37, 38",
OEFFHALTESTOGD.1381,1381,POINT (16.35505755303564 48.24918048472173),Perntergasse,Pernterg.,37,
OEFFHALTESTOGD.1382,1382,POINT (16.35808742648206 48.187037465623305),Siebenbrunnengasse,Siebenbrunneng.,12A,
OEFFHALTESTOGD.1383,1383,POINT (16.347510011346515 48.186798991628486),Am Hundsturm,Am Hundsturm,12A,
OEFFHALTESTOGD.1384,1384,POINT (16.353183253283643 48.18653074086351),Reinprechtsd Str/Arbeitergasse,Reinprechtsd Str./Arbeiterg.,"14A, 59A",
OEFFHALTESTOGD.1385,1385,POINT (16.35583034141203 48.250989665126994),Hohe Warte,Hohe Warte,37,
OEFFHALTESTOGD.1386,1386,POINT (16.355656191068398 48.224915394646025),Nußdorfer Straße/Alserbachstraße,Nußdorfer Str./Alserbachstr.,40A,
OEFFHALTESTOGD.1387,1387,POINT (16.358840966022523 48.16632694376929),Gußriegelstraße,Gußriegelstr.,"15A, 65A",
OEFFHALTESTOGD.1388,1388,POINT (16.34913985959853 48.22456586261616),Währinger Straße-Volksoper,Währinger Str-Volksoper,42,
OEFFHALTESTOGD.1389,1389,POINT (16.3372647057017 48.2572061744281),Himmelstraße,Himmelstr.,38A,
OEFFHALTESTOGD.1390,1390,POINT (16.337128462975514 48.20419753505009),Burggasse-Stadthalle,Burgg.-Stadthalle,48A,
OEFFHALTESTOGD.1391,1391,POINT (16.3386068269929 48.22314396081362),Hildebrandgasse,Hildebrandg.,42,
OEFFHALTESTOGD.1392,1392,POINT (16.338427785498606 48.1377675410763),Richard-Strauss-Straße,Richard-Strauss-Str.,16A,
OEFFHALTESTOGD.1393,1393,POINT (16.337099608970696 48.20209846014265),Burggasse-Stadthalle,Burgg.-Stadthalle,"18, 6",
OEFFHALTESTOGD.1394,1394,POINT (16.337420109131802 48.17105233872097),Eibesbrunnergasse,Eibesbrunnerg.,"15A, 63A, 7A",
OEFFHALTESTOGD.1395,1395,POINT (16.338864944615807 48.240574991559846),Flotowgasse,Flotowg.,35A,
OEFFHALTESTOGD.1396,1396,POINT (16.33776486549383 48.236618860237066),Linneplatz,Linnepl.,"37A, 40A",
OEFFHALTESTOGD.1397,1397,POINT (16.337539231201088 48.201349207114475),Urban-Loritz-Platz,Urban-Loritz-Pl.,"18, 6",
OEFFHALTESTOGD.1398,1398,POINT (16.337617691376924 48.201221333176555),Urban-Loritz-Platz,Urban-Loritz-Pl.,49,
OEFFHALTESTOGD.1399,1399,POINT (16.337377174200352 48.20113702449259),Urban-Loritz-Platz,Urban-Loritz-Pl.,"18, 6",
OEFFHALTESTOGD.1400,1400,POINT (16.337278284901842 48.1597559288175),"Computerstraße, Gutheil-Schoder-Gasse","Computerstr., Gutheil-Schoder-G.","16A, 65A",
OEFFHALTESTOGD.1401,1401,POINT (16.336936429741186 48.14051052633638),Lamezanstraße,Lamezanstr.,16A,
OEFFHALTESTOGD.1402,1402,POINT (16.336899589934216 48.20068708651321),Urban-Loritz-Platz,Urban-Loritz-Pl.,9,
OEFFHALTESTOGD.1403,1403,POINT (16.336725822410834 48.27601614977236),Kahlenberg,Kahlenberg,38A,
OEFFHALTESTOGD.1404,1404,POINT (16.337192775844045 48.20336509890757),Burggasse-Stadthalle,Burgg.-Stadthalle,U6,
OEFFHALTESTOGD.1405,1405,POINT (16.337007158225745 48.217558644301086),Palffygasse,Palffyg.,43,
OEFFHALTESTOGD.1406,1406,POINT (16.33748048286535 48.19035300495822),Gumpendorfer Straße,Gumpendorfer Str.,57A,
OEFFHALTESTOGD.1407,1407,POINT (16.33715321426875 48.18373706584655),Arndtstraße,Arndtstr.,12A,
OEFFHALTESTOGD.1408,1408,POINT (16.337653581088848 48.20034140164923),Urban-Loritz-Platz,Urban-Loritz-Pl.,9,
OEFFHALTESTOGD.1409,1409,POINT (16.338015416802232 48.20780099615508),Thaliastraße,Thaliastr.,U6,
OEFFHALTESTOGD.1410,1410,POINT (16.338620776730366 48.142642763759866),Adamovichgasse,Adamovichg.,16A,
OEFFHALTESTOGD.1411,1411,POINT (16.337511306056484 48.19086814950696),Gumpendorfer Straße,Gumpendorfer Str.,U6,
OEFFHALTESTOGD.1412,1412,POINT (16.33861688989507 48.20855051385678),Thaliastraße,Thaliastr.,46,
OEFFHALTESTOGD.1413,1413,POINT (16.338925483564832 48.19740424310813),Westbahnhof,Westbhf.,9,
OEFFHALTESTOGD.1414,1414,POINT (16.337153690233226 48.19672921761813),Westbahnhof,Westbhf.,"100, S50",
OEFFHALTESTOGD.1415,1415,POINT (16.337720701183102 48.178734275744986),Aßmayergasse,Aßmayerg.,"59A, 62",
OEFFHALTESTOGD.1416,1416,POINT (16.338580348113375 48.181515427573714),Hans-Mandl-Berufsschule,Hans-Mandl-Berufsschule,"59A, 63A",
OEFFHALTESTOGD.1417,1417,POINT (16.33793963205164 48.19577985918307),Westbahnhof,Westbhf.,U3,
OEFFHALTESTOGD.1418,1418,POINT (16.338849507018672 48.211178214291095),Josefstädter Straße,Josefstädter Str.,33,
OEFFHALTESTOGD.1419,1419,POINT (16.33782780164524 48.1521194844063),Inzersdorf Personenbahnhof WLB,Inzersdorf Personenbhf. WLB,265,
OEFFHALTESTOGD.1420,1420,POINT (16.33938964170639 48.18617166694534),Korbergasse,Korberg.,12A,
OEFFHALTESTOGD.1421,1421,POINT (16.345892960620233 48.18092991516754),Siebertgasse,Siebertg.,62,
OEFFHALTESTOGD.1422,1422,POINT (16.34424301845533 48.180483752727376),Marx-Meidlinger-Straße,Marx-Meidlinger-Str.,62,
OEFFHALTESTOGD.1423,1423,POINT (16.339527284807772 48.2117416769383),Josefstädter Straße,Josefstädter Str.,33,
OEFFHALTESTOGD.1424,1424,POINT (16.339161299759617 48.21155030076799),Josefstädter Straße,Josefstädter Str.,U6,
OEFFHALTESTOGD.1425,1425,POINT (16.34228941620164 48.25569713451201),Grinzing,Grinzing,38A,
OEFFHALTESTOGD.1426,1426,POINT (16.33906640355466 48.21110429552041),Josefstädter Straße,Josefstädter Str.,2,
OEFFHALTESTOGD.1427,1427,POINT (16.341894183287792 48.24869008484411),Paradisgasse,Paradisg.,38,
OEFFHALTESTOGD.1428,1428,POINT (16.34007473294671 48.17936543396993),Flurschützstraße/Längenfeldgasse,Flurschützstr./Längenfeldg.,62,
OEFFHALTESTOGD.1429,1429,POINT (16.340637162805074 48.21097805908689),Blindengasse,Blindeng.,"2, 33",
OEFFHALTESTOGD.1430,1430,POINT (16.342959708162496 48.14855850521008),Sterngasse,Sterng.,"16A, 66A",
OEFFHALTESTOGD.1431,1431,POINT (16.339328169913692 48.19652317681961),Westbahnhof,Westbhf.,"52, 58",
OEFFHALTESTOGD.1432,1432,POINT (16.34194058035744 48.25526716789062),Grinzing,Grinzing,38,
OEFFHALTESTOGD.1433,1433,POINT (16.341587058982977 48.196655460604774),Kaiserstraße,Kaiserstr.,5,
OEFFHALTESTOGD.1434,1434,POINT (16.340508604602515 48.17852482939901),Flurschützstraße/Längenfeldgasse,Flurschützstr./Längenfeldg.,63A,
OEFFHALTESTOGD.1435,1435,POINT (16.340670778885514 48.21097468530869),Blindengasse,Blindeng.,5,
OEFFHALTESTOGD.1436,1436,POINT (16.344776886443242 48.23000265683406),Gymnasiumstraße,Gymnasiumstr.,"37A, 40A",
OEFFHALTESTOGD.1437,1437,POINT (16.339444158683385 48.1968607005525),Westbahnhof,Westbhf.,5,
OEFFHALTESTOGD.1438,1438,POINT (16.34404301184552 48.21061252576888),Albertgasse,Albertg.,2,
OEFFHALTESTOGD.1439,1439,POINT (16.33919460122396 48.19692028767126),Westbahnhof,Westbhf.,U6,
OEFFHALTESTOGD.1440,1440,POINT (16.340967115297982 48.21517534604151),Hernalser Gürtel,Hernalser Gürtel,44,
OEFFHALTESTOGD.1441,1441,POINT (16.340658711941643 48.143990856323796),Traviatagasse,Traviatag.,16A,
OEFFHALTESTOGD.1442,1442,POINT (16.34112313347035 48.1987076258338),Stollgasse,Stollg.,5,
OEFFHALTESTOGD.1443,1443,POINT (16.34181513107559 48.21677497407562),Alser Straße,Alser Str.,U6,
OEFFHALTESTOGD.1444,1444,POINT (16.33929202787338 48.208428807328616),Thaliastraße,Thaliastr.,5,
OEFFHALTESTOGD.1445,1445,POINT (16.341869916493984 48.143408484714236),Seligmanngasse,Seligmanng.,16A,
OEFFHALTESTOGD.1446,1446,POINT (16.342403217283778 48.18284684730075),Wolfganggasse/Steinbauergasse,Wolfgangg./Steinbauerg.,59A,
OEFFHALTESTOGD.1447,1447,POINT (16.343960740737785 48.19079116714886),Sonnenuhrgasse,Sonnenuhrg.,57A,
OEFFHALTESTOGD.1448,1448,POINT (16.343440195454416 48.20756920384999),Schottenfeldgasse,Schottenfeldg.,46,
OEFFHALTESTOGD.1449,1449,POINT (16.342044412570885 48.21718246716705),Alser Straße,Alser Str.,43,
OEFFHALTESTOGD.1450,1450,POINT (16.34539078636115 48.15524120595991),Jungbauerweg,Jungbauerweg,16A,
OEFFHALTESTOGD.1451,1451,POINT (16.343164645987326 48.156898661036124),Grohnergasse,Grohnerg.,16A,
OEFFHALTESTOGD.1452,1452,POINT (16.34315058685103 48.14249559144561),Pfarrgasse/Traviatagasse,Pfarrg./Traviatag.,16A,
OEFFHALTESTOGD.1453,1453,POINT (16.34424486131881 48.27885347208712),Leopoldsberg,Leopoldsberg,38A,
OEFFHALTESTOGD.1454,1454,POINT (16.344465317452713 48.16889618656876),Carl-Appel-Straße,Carl-Appel-Straße,7B,
OEFFHALTESTOGD.1455,1455,POINT (16.341692987494692 48.1413155788771),Kolpingstraße,Kolpingstr.,16A,
OEFFHALTESTOGD.1456,1456,POINT (16.34224279961884 48.23385920862457),Cottagegasse,Cottageg.,"37A, 40A",
OEFFHALTESTOGD.1457,1457,POINT (16.342054971430795 48.15760807009071),Computerstraße,Computerstr.,"16A, 261, 265, 65A",
OEFFHALTESTOGD.1458,1458,POINT (16.34307756086212 48.18847883471481),Margaretengürtel,Margaretengürtel,U4,
OEFFHALTESTOGD.1459,1459,POINT (16.339712045714673 48.20604671547423),Kaiserstraße/Neustiftgasse,Kaiserstr./Neustiftg.,"48A, 5",
OEFFHALTESTOGD.1460,1460,POINT (16.345710871549603 48.18798626495914),Mauthausgasse,Mauthausg.,12A,
OEFFHALTESTOGD.1461,1461,POINT (16.340997399717853 48.18489906448815),Steinhagegasse,Steinhageg.,12A,
OEFFHALTESTOGD.1462,1462,POINT (16.344276885948982 48.22128126426324),Michelbeuern-AKH,Michelbeuern-AKH,U6,
OEFFHALTESTOGD.1463,1463,POINT (16.34474214657237 48.173735392352754),Unfallkrankenhaus Meidling,UKH Meidling,"63A, 7A",
OEFFHALTESTOGD.1464,1464,POINT (16.339076947707813 48.246195995754434),Sauerburggasse,Sauerburgg.,39A,
OEFFHALTESTOGD.1465,1465,POINT (16.34572367948953 48.284737940305405),Donauwarte,Donauwarte,"238, 239, 241, 341, 439",
OEFFHALTESTOGD.1466,1466,POINT (16.342254453135453 48.22660676608309),Martinstraße,Martinstr.,"40, 41",
OEFFHALTESTOGD.1467,1467,POINT (16.34484100632486 48.20570076430786),Zieglergasse/Neustiftgasse,Zieglerg./Neustiftg.,48A,
OEFFHALTESTOGD.1468,1468,POINT (16.343147701698427 48.237125928541204),Blaasstraße,Blaasstr.,10A,
OEFFHALTESTOGD.1469,1469,POINT (16.34502398116225 48.20183422479907),Zieglergasse/Westbahnstraße,Zieglerg./Westbahnstr.,49,
OEFFHALTESTOGD.1470,1470,POINT (16.34050815726604 48.20184881879693),Kaiserstraße/Westbahnstraße,Kaiserstr./Westbahnstr.,"49, 5",
OEFFHALTESTOGD.1471,1471,POINT (16.345900245161257 48.28597166617901),Marinekaserne,Marinekaserne,239,
OEFFHALTESTOGD.1472,1472,POINT (16.343492410342606 48.23956699127943),Chimanistraße,Chimanistr.,10A,
OEFFHALTESTOGD.1473,1473,POINT (16.34056916614436 48.24006120358688),Krottenbachstraße,Krottenbachstr.,S45,
OEFFHALTESTOGD.1474,1474,POINT (16.34118123008474 48.24046980547272),Krottenbachstraße,Krottenbachstr.,35A,
OEFFHALTESTOGD.1475,1475,POINT (16.34158270121333 48.17207520207554),Kastanienallee,Kastanienallee,63A,
OEFFHALTESTOGD.1476,1476,POINT (16.34403511322877 48.18550762682695),Gaudenzdorfer Gürtel,Gaudenzdorfer Gürtel,12A,
OEFFHALTESTOGD.1477,1477,POINT (16.34487493045101 48.24059014900876),Obersteinergasse,Obersteinerg.,35A,
OEFFHALTESTOGD.1478,1478,POINT (16.341661990426356 48.13911839822626),Slamastraße,Slamastr.,16A,
OEFFHALTESTOGD.1479,1479,POINT (16.3447892943397 48.22615862978823),Kutschkergasse,Kutschkerg.,"40, 41",
OEFFHALTESTOGD.1480,1480,POINT (16.343556570440583 48.22199149426374),Michelbeuern-AKH,Michelbeuern-AKH,42,
OEFFHALTESTOGD.1481,1481,POINT (16.341863224912128 48.25269344521074),An den langen Lüssen,A.d. langen Lüssen,38,
OEFFHALTESTOGD.1482,1482,POINT (16.340061444918653 48.20431635186918),Kaiserstraße/Burggasse,Kaiserstr./Burgg.,48A,
OEFFHALTESTOGD.1483,1483,POINT (16.3449513580469 48.20431242678883),Zieglergasse/Burggasse,Zieglerg./Burgg.,48A,
OEFFHALTESTOGD.1484,1484,POINT (16.344001309603197 48.244025039621974),Oberdöbling,Oberdöbling,S45,
OEFFHALTESTOGD.1485,1485,POINT (16.340035748420682 48.20431016990169),Kaiserstraße/Burggasse,Kaiserstr./Burgg.,5,
OEFFHALTESTOGD.1486,1486,POINT (16.344262751031355 48.24478606785521),Oberdöbling,Oberdöbling,38,
OEFFHALTESTOGD.1487,1487,POINT (16.344249079977576 48.24481361038143),Oberdöbling,Oberdöbling,39A,
OEFFHALTESTOGD.1488,1488,POINT (16.341526309141024 48.245828029965125),Friedlgasse,Friedlg.,39A,
OEFFHALTESTOGD.1489,1489,POINT (16.34264810495007 48.1871169442552),Gaudenzdorfer Gürtel,Gaudenzdorfer Gürtel,12A,
OEFFHALTESTOGD.1490,1490,POINT (16.34272316039453 48.245902161143334),Sieveringer Straße,Sieveringer Str.,38,
OEFFHALTESTOGD.1491,1491,POINT (16.389208804516905 48.23634778539784),Engerthstraße/Traisengasse,Engerthstr./Traiseng.,"11A, 11B, 37A, 5A",
OEFFHALTESTOGD.1492,1492,POINT (16.389823862342418 48.17377263917613),Absberggasse,Absbergg.,6,
OEFFHALTESTOGD.1493,1493,POINT (16.392566163512225 48.2335178319731),Engerthstraße/Innstraße,Engerthstr./Innstr.,"11A, 11B",
OEFFHALTESTOGD.1494,1494,POINT (16.398420204695302 48.24623199641476),Kugelfanggasse,Kugelfangg.,20B,
OEFFHALTESTOGD.1495,1495,POINT (16.395134241576685 48.17586153420604),Hüttenbrennergasse,Hüttenbrennerg.,69A,
OEFFHALTESTOGD.1496,1496,POINT (16.39483432161895 48.24640587723428),Neue Donau,Neue Donau,U6,
OEFFHALTESTOGD.1497,1497,POINT (16.397364555291958 48.1767903286571),Gräßlplatz,Gräßlpl.,69A,
OEFFHALTESTOGD.1498,1498,POINT (16.395360985367635 48.24652392296323),Neue Donau,Neue Donau,20B,
OEFFHALTESTOGD.1499,1499,POINT (16.39456468226097 48.231818246450636),Holubstraße,Holubstr.,"11A, 11B",
OEFFHALTESTOGD.1500,1500,POINT (16.391320323063496 48.178434379245815),Lilienthalgasse,Lilienthalg.,69A,
OEFFHALTESTOGD.1501,1501,POINT (16.393167669355602 48.179394914354454),Lilienthalgasse,Lilienthalg.,69A,
OEFFHALTESTOGD.1502,1502,POINT (16.399248116785817 48.246767480630595),Sandrockgasse,Sandrockg.,20B,
OEFFHALTESTOGD.1503,1503,POINT (16.38798175826397 48.180999295532544),Arsenal Objekt 5,Arsenal Objekt 5,69A,
OEFFHALTESTOGD.1504,1504,POINT (16.38784171605583 48.24857293184982),Floridsdorfer Brücke/Donauinsel,Floridsdorfer Br./Donauinsel,31,
OEFFHALTESTOGD.1505,1505,POINT (16.394253272000185 48.20382368073315),Geusaugasse,Geusaug.,4A,
OEFFHALTESTOGD.1506,1506,POINT (16.397767351426477 48.229113559932834),Pensionsversicherungsanstalt,PVA,"11A, 11B",
OEFFHALTESTOGD.1507,1507,POINT (16.387280058595735 48.167166268564095),Absbergbrücke,Absbergbrücke,266,
OEFFHALTESTOGD.1508,1508,POINT (16.388332115863836 48.22794658740111),Rebhanngasse,Rebhanng.,2,
OEFFHALTESTOGD.1509,1509,POINT (16.395699199101944 48.18602672205054),Wildgansplatz,Wildganspl.,18,
OEFFHALTESTOGD.1510,1510,POINT (16.39160175929311 48.2504521545192),Hubertusdamm,Hubertusdamm,20B,
OEFFHALTESTOGD.1511,1511,POINT (16.396384711663554 48.22438752818551),Ernst-Melchior-Gasse,Ernst-Melchior-G.,82A,
OEFFHALTESTOGD.1512,1512,POINT (16.39212917881593 48.25066014614156),Hubertusdamm,Hubertusdamm,31,
OEFFHALTESTOGD.1513,1513,POINT (16.38937335957538 48.22355152969871),Nordbahnstraße,Nordbahnstr.,5,
OEFFHALTESTOGD.1514,1514,POINT (16.396144851133595 48.222973754152115),Leopold-Moses-Gasse,Leopold-Moses-G.,82A,
OEFFHALTESTOGD.1515,1515,POINT (16.390436612408102 48.16502807164471),Urselbrunnengasse,Urselbrunneng.,"266, 271, 68A",
OEFFHALTESTOGD.1516,1516,POINT (16.391353218934817 48.187899769138596),Heinrich-Drimmel-Platz,Heinrich-Drimmel-Pl.,18,
OEFFHALTESTOGD.1517,1517,POINT (16.39837466512993 48.251976118054536),Broßmannplatz,Broßmannpl.,33A,
OEFFHALTESTOGD.1518,1518,POINT (16.39905244916888 48.22217939356443),Harkortstr.,Harkortstraße,82A,
