railtime_id,hafas_id,stop_area_names@nl,stop_area_names@fr,stop_area_names@en,dbpedia_uris,lon,lat
107,008832045,Balen,Balen,Balen,http://live.dbpedia.org/resource/Balen,5.164985,51.169098
1073,008894425,Sinaai,Sinaai,Sinaai,http://live.dbpedia.org/resource/Sinaai,4.06894,51.1434
1076,008892692,Sint-Denijs-Boekel,Sint-Denijs-Boekel,Sint-Denijs-Boekel,http://live.dbpedia.org/resource/Sint-Denijs-Boekel,3.6984,50.8743
1079,008814167,Sint-Genesius-Rode,Sint-Genesius-Rode,Sint-Genesius-Rode,http://live.dbpedia.org/resource/Sint-Genesius-Rode,4.361997,50.74781
1081,008814449,Sint-Job,Sint-Job,Sint-Job,http://live.dbpedia.org/resource/Sint-Job,4.362761,50.79441
1082,008833159,Sint-Joris-Weert,Sint-Joris-Weert,Sint-Joris-Weert,http://live.dbpedia.org/resource/Sint-Joris-Weert,4.6519,50.802068
1083,008822228,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,http://live.dbpedia.org/resource/Sint-Katelijne-Waver,4.496119,51.069979
1084,008821543,Sint-Mariaburg,Sint-Mariaburg,Sint-Mariaburg,http://live.dbpedia.org/resource/Sint-Mariaburg,4.434902,51.291654
1085,008895570,Lierde,Lierde,Lierde,http://live.dbpedia.org/resource/Lierde,3.826561,50.816239
1087,008812245,Sint-Martens-Bodegem,Sint-Martens-Bodegem,Sint-Martens-Bodegem,http://live.dbpedia.org/resource/Sint-Martens-Bodegem,4.20508,50.86716
1088,008894508,Sint-Niklaas,Sint-Niklaas,Sint-Niklaas,http://live.dbpedia.org/resource/Sint-Niklaas,4.144637,51.171765
1090,008831807,Sint-Truiden,Sint-Truiden,Sint-Truiden,http://live.dbpedia.org/resource/Sint-Truiden,5.17562,50.817674
1091,008893260,Sleidinge,Sleidinge,Sleidinge,http://live.dbpedia.org/resource/Sleidinge,3.667527,51.126603
1092,008883113,Zinnik,Zinnik,Zinnik,http://live.dbpedia.org/resource/Zinnik,4.069021,50.573322
1093,008871662,Solre-sur-Sambre,Solre-sur-Sambre,Solre-sur-Sambre,http://live.dbpedia.org/resource/Solre-sur-Sambre,4.15843,50.31264
1097,008844404,Spa,Spa,Spa,http://live.dbpedia.org/resource/Spa,5.855101,50.490302
110,008895463,Bambrugge,Bambrugge,Bambrugge,http://live.dbpedia.org/resource/Bambrugge,3.935715,50.913768
1102,008843406,Statte,Statte,Statte,http://live.dbpedia.org/resource/Statte,5.220967,50.527762
1107,008862018,Stockem,Stockem,Stockem,http://live.dbpedia.org/resource/Stockem,5.769116,49.69094
1113,008842853,Sy,Sy,Sy,http://live.dbpedia.org/resource/Sy,5.524167,50.402653
1125,008874609,Tamines,Tamines,Tamines,http://live.dbpedia.org/resource/Tamines,4.608824,50.432232
1128,008894672,Temse,Temse,Temse,http://live.dbpedia.org/resource/Temse,4.221349,51.126085
1130,008895448,Terhagen,Terhagen,Terhagen,http://live.dbpedia.org/resource/Terhagen,3.899339,50.902484
1131,008812252,Ternat,Ternat,Ternat,http://live.dbpedia.org/resource/Ternat,4.16534,50.87452
1134,008833266,Testelt,Testelt,Testelt,http://live.dbpedia.org/resource/Testelt,4.94583,51.00986
1135,008844339,Theux,Theux,Theux,http://live.dbpedia.org/resource/Theux,5.81503,50.536161
1136,008881455,Thieu,Thieu,Thieu,http://live.dbpedia.org/resource/Thieu,4.09852,50.46954
1139,008871811,Thuin,Thuin,Thuin,http://live.dbpedia.org/resource/Thuin,4.28891,50.34274
114,008864451,Barvaux,Barvaux,Barvaux,http://live.dbpedia.org/resource/Barvaux,5.50154,50.34942
1141,008884350,Thulin,Thulin,Thulin,http://live.dbpedia.org/resource/Thulin,3.744708,50.423332
1144,008821964,Tielen,Tielen,Tielen,http://live.dbpedia.org/resource/Tielen,4.89309,51.24102
1145,008892254,Tielt,Tielt,Tielt,http://live.dbpedia.org/resource/Tielt,3.328611,50.990058
1146,008833308,Tienen,Tienen,Tienen,http://live.dbpedia.org/resource/Tienen,4.92581,50.80802
1147,008842630,Tilff,Tilff,Tilff,http://live.dbpedia.org/resource/Tilff,5.583933,50.570625
1149,008872553,Tilly,Tilly,Tilly,http://live.dbpedia.org/resource/Tilly,4.552674,50.55808
1150,008895638,Tollembeek,Tollembeek,Tollembeek,http://live.dbpedia.org/resource/Tollembeek,3.992826,50.735519
1151,008831310,Tongeren,Tongeren,Tongeren,http://live.dbpedia.org/resource/Tongeren,5.47328,50.784403
1152,008891314,Torhout,Torhout,Torhout,http://live.dbpedia.org/resource/Torhout,3.10587,51.06471
1154,008885001,Doornik,Doornik,Doornik,http://live.dbpedia.org/resource/Doornik,3.396942,50.613134
1157,008845203,Trois-Ponts,Trois-Ponts,Trois-Ponts,http://live.dbpedia.org/resource/Trois-Ponts,5.873579,50.368217
1159,008844271,Trooz,Trooz,Trooz,http://live.dbpedia.org/resource/Trooz,5.688351,50.573212
1160,008883808,Tubeke,Tubeke,Tubeke,http://live.dbpedia.org/resource/Tubeke,4.205729,50.691708
1161,008821907,Turnhout,Turnhout,Turnhout,http://live.dbpedia.org/resource/Turnhout,4.937413,51.322029
1167,008814134,Ukkel-Kalevoet,Ukkel-Kalevoet,Ukkel-Kalevoet,http://live.dbpedia.org/resource/Ukkel-Kalevoet,4.332207,50.791749
1168,008814126,Ukkel-Stalle,Ukkel-Stalle,Ukkel-Stalle,http://live.dbpedia.org/resource/Ukkel-Stalle,4.323901,50.802411
1174,008811270,Veltem,Veltem,Veltem,http://live.dbpedia.org/resource/Veltem,4.63352,50.90052
1176,008833050,Vertrijk,Vertrijk,Vertrijk,http://live.dbpedia.org/resource/Vertrijk,4.83552,50.83628
1177,008844008,Verviers-Centraal,Verviers-Centraal,Verviers-Centraal,http://live.dbpedia.org/resource/Verviers-Centraal,5.854917,50.588135
118,008843430,Bas-Oha,Bas-Oha,Bas-Oha,http://live.dbpedia.org/resource/Bas-Oha,5.19094,50.52263
1180,008844057,Verviers-Paleis,Verviers-Paleis,Verviers-Paleis,http://live.dbpedia.org/resource/Verviers-Paleis,5.865335,50.590921
1181,008892304,Veurne,Veurne,Veurne,http://live.dbpedia.org/resource/Veurne,2.66994,51.073869
